Abacus	अकगणक
Ex-parte	एक-पक्षीय
Expatriates	देशत्यागी
Expedient	समीचीन
Expenditure_charged	भारित_व्यय
Explaining_the_history_of_the_case	मामले_की_पूर्ण_जानकारी_देते_हुए
Explaining_the_reasons	कारण_स्पष्ट_करते_हुए
Explanation_may_be_called_for	स्पष्टीकरण_मांगा_जाए
Explanatory_memorandum	व्याख्यात्मक_ज्ञापन
Explanatory_Note	व्याख्यात्मक_टिप्पण
Explicit	स्पष्ट
Exploitation	दोहन__शोषण
Exponent	प्रतिपादक__प्रतिनिधि
Ex-post_facto	कार्योत्तर
Expulsion	निष्कासन__बहिष्करण__निकाल_देना
Fabricate	गढना
Facilitate	आगे_बढ़ाना__सरल_बनाना
Facility	सुविधा__सुगमता
Facilitation_of_International_Air_Transport	अंतर्राष्ट्रीय_विमान_परिवहन_का_सरलीकरण
Fad	झक__सनक
Failure	भंग
Fan_door	पंखा_दवार
Fault,_disconnection	वियोजन_दोष
Fault_detection	दोष_संसूचक
Faulty_communication	सदोष_संचार
Federal	केंद्रीय_शासन_से_संबंधित
Feed_back_signal	पुनः_निवेशन_संकेत
Feeding_station_/	प्रभरण_स्टेशन_प्रभरण_केन्द्र
Feeler_gauge	संवेदक_प्रमापी
Fictitious_support	कल्पित_आधार
Fighting_aircraft	लड़ाकू_विमान
Filling_system	भरण_प्रणाली
Fin_carrier	पंख_वाहक
Final_approach	अंतिम_पहुंच__उपगमन
Final_control_element	अंतिम_नियंत्रण_तत्व
Fin,_cooling	शीतलन_पंख
Find_for	के_पक्ष_में_निर्णय_देना
Finding	खोज__निर्णय__जॉच_परिणाम
Findings	विष्कर्ष_परिणाम
Finance_Bill	वित्त_विधेयक
Financial_Aspects_of_the_Bill	विधेयक_के_वित्तीय_पहलू
Financial_Functions	वित्तीय_कार्य
Financial_implications	वित्तीय_निहितार्थ
Financial_Memorandum	वित्तीय_ज्ञापन
Fire_alarm	अग्नि_भय_संकेतक/अग्नि_भय_संकेत
Fire_control_lever	अग्निशमन_लीवर
Fire_control_system	आग_नियंत्रण_तंत्र
Fire_fighting_equipment	आग_बुझाने_का_सामान/अग्निशमन_उपस्कर
Fire_resistant	अग्नि_प्रतिरोधी
Flash_light	क्षण_दीप/टार्च
Flat_seat	चिपटी_पीठिका
Fleet	बेड़ा
Flick	झटका
Flight_altitude_/	उड़ान_ऊँचाई_उड्डयन_उच्चता
Flight,_ferry	पहली_उड़ान
Flight,_free	मुक्त_उड़ान
Flight_information_system	उड़ान_सूचना_केन्द्र
Flight_Instructor's_Rating_(Aeroplanes)	उड़ान_अनुदेशक_रेटिंग_(विमान)
Flight_Manual	उड़ान_मेनुअल
Flight_Path	उडान_पथ
Flight_personnel	उड़ान_कार्मिक
Flight_Plan	उडान_योजना
Flight_Radio_Telephone_Operator's_Licence	उड़ान_रेडियो_प्रचालक_लाइसेंस
Flying_club	उड्डयन_क्लब
Foreign_Operators	विदेशी_प्रचालक
Free_parachute_/	मुक्त_पैराशूट_हवाई_छतरी
Free_zones	मुक्त_क्षेत्र
Freight	भाड़ा
Fuel_flow_indicator	ईंधन_प्रवाह_सूचक
Fuel_gauge	ईंधन_प्रमापी
Fuel_uplift	ईंधन_भरना
Gadget	यंत्रिका__मशीन
Gage	गेज/प्रमापी
Gang_tool	समूह_औजार
Gap_structure	अन्तराल_संरचना
Gate_signal	प्रवेश_संकेतक
Gate,_tumble	अवपाती_द्वार
Gear	गियर/गरारी__यंत्रावली__उपस्कर
Gear_control	नियंत्रक_यंत्रावली__गियर_उपस्कर
General_aviation	सामान्य_विमानन
Generator_/	जनित्र_जेनरेटर
Glance_through,_may	सरसरी_तौर_पर_देख_लें
Glaring_disparity	घोर_असमानता/स्पष्ट_विसंगति
Glider_Pilot's_Licence	ग्लाइडर_पायलट_लाइसेंस
Golden_Jubilee_Year	स्वर्ण_जयंती_वर्ष
Gong_alarm	चेतावनी_घंटा
Good_and_sufficient_reason	समुचित_और_प_पर्याप्त_कारण
Good_Offices	अपने_सप्रभाव_का_उपयोग
Goodwill_Delegation	सद्भावना__प्रतिनिधिमंडल
Governing_body	शासी_निकाय
Government_assurance	सरकारी_आश्वासन
Government_Bills	सरकारी_विधेयक
Government_Business	सरकारी_कार्य
Government_Legislative_and_other	सरकारी_विधान_कार्य_तथा_अन्य_कार्य
Government_Motion	सरकारी_प्रस्ताव
Government_Resolution	सरकारी_संकल्प
Government/Statutory_Resolution	सरकारी/परिनियत_संकल्प
Govt._of_India_Press	भारत_सरकार_मुद्रणालय
Gradient_wind	अनुप्रवण_वायु
Grant-in-aid	सहायतानुदान
Grants	अनुदान
Grass_root_level	सबसे_निचला_स्तर
Gratification	परितोषण
Gratuitous	आनुग्रहिक__मुफ्त__बिना_प्रतिफल
Gratuity	उपदान
Greenwich_Mean_Time	ग्रीनविच_माध्य_समय
Gross_level	सकल_तल
Gross_budgetary_support	सकल_बजटीय_सहायता
Ground_Control_Approach_System	भू-नियंत्रण_उपगमन_प्रणाली
Group_Chart	समूह_चार्ट
Growth_potential	वृद्धि_की_संभावना
Guarantee	प्रत्याभूति
Guardian	संरक्षक
Gust_of_wind	वायु_झोंका
Gyroplane_/	घूर्णाक्षतल_जायरोप्लेन
Hall	घर__महल__सभागृह__कक्ष
Hand_flag	हस्त_झंडी
Hand_operated_device	हस्त_प्रचालित_युक्ति
Hand_signal	हस्त_सिगनल/हस्त_संकेत
Hand_wheel	हस्त_पहिया
Handle	दस्ता/मूठ/हत्था
Hanger	महाच्छद__हैंगर__विमान_छद
Hardening,_air	वायु_कठोरीकरण
Hardness_test	कठोरता_परीक्षण
Hardware	यंत्रोपदान__लौह_आदि
Haze	धुन्ध
Head_lamp	अग्र_दीप
Head_light	अग्र_प्रकाश
Head_resistance	अग्र_प्रतिरोध
Headway	मध्यांतर
Heap_cloud	समूह_मेघ
Heat_checking	ऊष्मा_जाँच
Heating_muff	तापक_मफ__दस्ताना
High_clouds	ऊँचे_मेघ
High_explosoive	त्रीव_विस्फोटक
High_fog	ऊँचा_कोहरा
High_frequency	उच्च_आवृति
Holding_point	प्रतीक्षण_बिन्दु
Horizon,_camera	क्षितिज_कैमरा
Horizon_error	क्षितिज_त्रुटि
Hot_air_engine	तप्त-वायु_इंजन
Hull_risk	अवतरण_जोखिम
Human_error	मानवीय_त्रुटि
Humid_atmosphere	आर्द्र_वायुमंडल
Hydraulic_brake_system	द्रवीय_ब्रेक_तंत्र
Hygrometer	आर्द्रतामापी__हाइग्रोमीटर
Ibidem_(ibid)	वही__पूर्वोक्त__यथापूर्व
Ideal_air_cycle	आदर्श_वायु_चक्र
Identical_Bill	समान_विधेयक
Identical_speed	तत्सम_चाल
Ideology	विचारधारा
Idle_capacity	अप्रयुक्त_क्षमता
If_I_may_say_so	मेरी_राय_में
Immigration	आप्रवास
Impeachment	महाभियोग
Implementation	कार्यान्वयन
Import_cargo	आयात_माल
Imprest	अग्रदाय
Improbable	असंभावित__असंभव
Impromptu	तत्काल__बिना_तैयारी_के
Improper_system	अनुचित_तंत्र
Impropriety	अनौचित्य__अनुचित
Improvisation	कामचलाऊ_व्यवस्था__तात्कालिक_व्यवस्था
Inboard_(aeronautics)	केन्द्रोन्मुखी
Inbound_passenger	आगमन_यात्री
Inclusion	अंतर्वेशन__समावेशन
Incoming_signal_frequency	प्रवेशी_संकेत_आवृति
In_a_note_submitted_to_the_committee	समिति_को_भेजे_गये_एक_टिप्पण_में
In_compliance_with	का_अनुपालन_करते_हुए
In_contemplation_of	को_ध्यान_में_रखते_हुए
In_continuation_of	के_आगे__के_क्रम_में
In_contravention_of	के_विपरीत__का_उल्लंघन_करते_हुए
In_default_of	के_अभाव_में__न_करने_पर__न_होने_पर
In_extenso	विस्तार_में/सविस्तार
In_extensor	विस्तृत_रूप_में
In_letter_and_spirit	अक्षरशः__शब्दशः
In_order_of_preference	अधिमान्यता_के_क्रम_में__वरीयता-क्रम
In_order_to_ensure_that	यह_सुनिश्चित_करने_के_लिए_कि
In_order_to_safeguard_against	से_बचाव_के_लिए
In_perpetuity	शाश्वत__सदैव_के_लिए__निरन्तर
In_pursuance_of	के_अनुसरण_में
In_the_aggregate	कुल_मिलाकर
In_the_capacity_of	की_हैसियत_से__के_रूप_में
In_the_light_of_short-comings_and	कमियों_को_देखते_हुए
Incriminate	अपराध_में_फंसाना
Incriminating_document	अपराध_संकेती_दस्तावेज/आपत्तिजनक_दस्तावेज
Incumbent	पदधरी__पदस्थ__आश्रयी
Indemnify	क्षतिपूर्ति_करना
Indemnity_bond	क्षतिपूर्ति_बन्ध-पत्र
Indenture	विलेख__दस्तावेज
In-depth_vital_area	गहन_और_महत्वपूर्ण_क्षेत्र
Index	अनुक्रमणिका
Index_Cards	सूचक-पत्र
Indicated_air_speed	सूचित_विमान_गति
Indicator	सूचक
Indian_extradition_act	भारतीय_प्रत्यर्पण_अधिनियम
Indian_State	भारत_राज्य
Infiltration_bid	घुसपैठ_की_कोशिश__प्रयास
Informatics	सूचना_विज्ञान
Infrastructural_cost	आधरभूत_संरचना_लागत
Infrastructure	आधरभूत_ढांचा
Infringement_of_rights	अधिकारों_का_अतिलंघन
Infructuous	निष्फल__असफल
Injury	क्षति
Initials	आद्यक्षर
Inlet,_air	वायु_अन्तर्गम
Inner_Lobby	आंतरिक_लाबी__आंतरिक_कक्ष
Innocuous	हानिरहित__अनपकारी__निरापद
Innovative_project	अभिनव_परियोजना__नवीन_परियोजना
Inordinate_delay	अत्यधिक/असाधरण_विलंब
Inspection	निरीक्षण
Instument_Landing_System	उपकरण_अवतरण_प्रणाली
Instrumental_Flight_Rule_(IFR)	यंत्रीय_उड्डयन_नियम
Installation	प्रस्थापन__स्थापना__अधिष्ठापन__प्रतिष्ठापन
Instantaneous_action	तुरंत_कार्रवाई
Institutional_framework	संस्थागत_ढांचा
Instructions_and_Guidelines	अनुदेश_एवं_मार्गनिर्देश
Instructions_are_solicited	अनुदेश/हिदायतें_अपेक्षित_हैं/दी_जायें__अखण्डता
Integrity	सत्यनिष्ठा__ईमानदारी
Inter-alia	अन्य/दूसरी_बातों_के_साथ-साथ__साथ-साथ
Interactive_session	अंतः_संवाद_सत्र__विचार-विमर्श_सत्र
Inter_communication_system	अन्तः_संचार_प्रणाली
International_Civil_Aviation_Organization_(ICAO)	अंतर्राष्ट्रीय_नागर_विमानन_संगठन
Interchange_of_vacancies	रिक्तियों_का_परस्पर_अन्तरण
Interdependent	अन्योन्याश्रित
Interim_Bail	अंतरिम_जमानत
Interim_reply	अंतरिम_उत्तर
Intermediary	मध्यवर्ती
Intermediation	मध्यस्थता
International_monetary_fund	अंतर्राश्ट्रीय_मुद्रा_कोश
Inter-Parliamentary_Union	अंतर-संसदीय_संघ
Interpretation	निर्वचन__व्याख्या__अर्थनिर्णय__प्रतिपादन_
Interpreter	दुभाषिया__व्याख्याकार
Interruptions	व्यवधन__विघ्न__बाध
Inter-State_Council	अंतर-राज्यीय_परिशद
Interturn_fault	अन्तर्वर्तन_दोष__अंतः_फेरा_दोष
Intervene	हस्तक्षेप_करना__बीच_में_पड़ना__दखल_देना
Intervening	मध्यवर्ती__अन्तःस्थ
Intra_vires	अधिकाराधीन
Intricate	जटिल__पेचीदा
Introduced	पुरःस्थापित
Jack,_mechanical	यॉत्रिक_जैक
Jack,_screw	पेंच_जैक
Jack_stay	जैक_स्थायी
Janitor	दरवान__चौकीदार__द्वारपाल
Jerk	झटका
Jet_engine	प्रधार_इंजन
Jet_Pilot	प्रधार_विमान_चालक/जैट_विमान_चालक
Job_analysis	कृत्यक_विश्लेषण
Joining	जोड़ना
Joint,_expansion	प्रसार_जोडना
Joint,_straight	टक्कर_जोड़
Journalist	पत्रकार
Journey	यात्रा__सफर
Junior	कनिष्ठ
Junior_Executive	कनिष्ठ_कार्यपालक
Katabatic_wind	अवरोही_पवन
Keg	छोटा_पीपा
Kentledge_weight	निभार
Kerb	उपांत__कर्ब
Key_diagram	मुख्य_आरेख
Key_personnel	महत्वपूर्ण_कार्मिक
Key_point	मुख्य_बिन्दु
Keen	उत्सुक
Keep	धरना__रखना
Kingdom	राज्य
Kingfisher	रामचिरैया
Kink	विकुंच
Kite_ballon	पतंग_गुब्बारा
Knob	गाँठ
Knock	खट-खटाना
Knock_rating	अपस्फोटन_निर्धारण
Knowledge	जानकारी
Lab	प्रयोगशाला
Labelled_photograph	नामंकित_फोटोग्राफ
Labour	श्रमिक__मजदूर
Labour_Union	श्रमिक_संघ
Lack	कमी
Land_surveying	थल_सर्वेक्षण
Landing	अवतरण
Landing_gear	वायुयान_के_पहिये__अवतरण_गियर
Landing_ground	अवतरण_क्षेत्र__अवतरण_स्थल
Landing,_emergency	आपातकालीन_अवतरण
Landing_speed	अवतरण_चाल
Laning_strip	अवतरण_पट्टी
Latest_start_time	यथा_विलम्बित_प्रारम्भ_काल
Lavatory	प्रेक्षनालय
Layover_period	विराम_अवधि
Leading_wheel	अग्र_पहिया
Leave	छुट्टी__अनुमति__प्रस्थान
Leave_be_granted	अनुमति_प्रदान_की_जाए
Leave_of_absence	अनुपस्थिति_की_अनुमति
Leave_on_the_ground_of_sickness	बीमारी_के_आधार_पर_छुट्टी_दे_दी_जाए
Licence	लाइसैन्स__अनुज्ञप्ति
Lift_dynamic	गतिक_उत्थान
Lift_off_distance	उत्थापन_क्षमता
Light_Aircraft_Engine	हल्का_वायुयान_इंजन
Limit_control	सीमा_नियंत्रण
Limiting_velocity	सीमांत_वेग
Long_time	लम्बा_समय
Lounge	विश्राम_कक्ष
Low_frequency	निम्न_आवृति
Lubrication	स्नेहन__तेल_देना
Machine,_weighing	तौलने_का_यंत्र__तौलने_की_मशीन
Machine_instruction	यंत्र_अनुदेश
Main	मुख्य
Main_Tank	मुख्य_टैंक
Maintenance	अनुरक्षण
Major_defect	मुख्य_दोष
Manual_Signal	हस्तचालित_संकेत
Manufacturer	निर्माता
Margin_of_safety	सुरक्षा_छूट
May_be_concurred_in	सहमति_प्रदान_की_जाए/दे_दी_जाए
May_be_deferred	मुल्तवी/आस्थगित_रखा_जाए
May_be_perused	आगे_समुचित_कार्यवाही_की_जाए
May_the_proposal_be_accepted?	प्रस्ताव_स्वीकार/मान_लिया_जाए?
Meet_again,_to	पुनः_समवेत_होने_के_लिए
Meeting	बैठक__सभा__गोष्ठी__अधिवेशन
Member	सदस्य
Member-in-charge	प्रभारी_सदस्य
Members_Sworn	सदस्यों_द्वारा_शपथ_ग्रहण
Members_to_associate	सहबद्ध_होने_वाले_सदस्य
Membership	सदस्यता
Memoranda	ज्ञापन
Memoranda_containing_suggestions	सुझावों_संबंधी_ज्ञापन
Memorandum_of_Business	कार्य_विषयक_ज्ञापन
Mere_supposition	कल्पना_मात्र
Meriting_consideration	विचार_करने_योग्य__विचारणीय
Meritorious_service	सराहनीय_सेवा__प्रशंसनीय_कार्य
Merit_rating	गुणता_निर्धारण__गुणांकन
Merits_and_demerits	गुण-दोष__गुणावगुण__अच्छाई-बुराई
Message	सन्देश__सूचना
Meteorograph	मौसम_लेखी
Meteorological_watch_office	मौसम_निगरानी_कार्यालय
Micro_office	छोटा_कार्यालय
Mid_term	मध्यावधि
Military_aircraft	सैनिक_विमान
Minimal_distance	अल्पतम_दूरी
Ministerial	लिपिकवर्गीय
Ministry_of_Parliamentary_Affairs	संसदीय_कार्य_मंत्रालय
Minority	अवयस्कता__अल्पसंख्या__अल्पमत
Minute_of_Dissent	विसम्मति_टिप्पण
Minutes	कार्यवृत्त
Minutes_of_meeting	बैठक_का_कार्यवृत्त
Miscellaneous	प्रकीर्ण
Misconduct	कदाचार__अपचार__दुर्व्यवहार
Misrepresentation	अन्यथा-कथन__गलत_चित्रण
Mitigate	कम_करना__घटाना__शमन_करना
Mode_of_operation	प्रचालन_विधि
Modification	परिवर्तन__परिशोधन
Modus_operandi	कार्य-प्रणाली__कार्य-विधि
Monitoring	प्रबोधन
Momento	यादगार__निशानी__स्मृतिचिन्ह__स्मरण
Multiplance	बहुपंखी_विमान
Name_board	नाम-पट्ट
Navigation_flare	यान_संचालन_संस्फूर
Navigational_aid	नौसंचालन_सहायक_युक्ति
Net_loss	शुद्ध_हॉनि
Night_effect	रात्रि_प्रभाव
Night_signal	रात्रि_सिगनल
No_entry	प्रवेश_निषेध
Non_inflammable_oil	उज्जवलनशील_तेल
Non-availability_certificate	अनुपलब्धता_प्रमाणपत्र
Non-bailable	अजमानतीय__गैर-जमानती
Non-combatant	अयोधी__गैर-लड़ाकू
Non-compliance	अपालन__अननुपालन
Non-conventional_method	अपारम्परिक_पद्धति
Non-financial	गैर-वित्तीय
Non-interference	अहस्तक्षेप
Non-judicial	न्यायिकेतर
Non-liability	अदेयता
Non_perennial_area	मौसमी_क्षेत्र
Non-practising_allowance	प्रैक्टिसबंदी_भत्ता
Non-recurring_expenditure	अनावर्ती_व्यय
Non-recurring_grant	अनावर्ती_अनुदान
Non-refundable	अप्रतिदेय
Non-renewable_energy_source	गैर-नवीकरणीय_ऊर्जा_स्रोत
Non-revenue_receipts	राजस्वेत्तर_प्राप्तियां
Non-saleable	अविक्रेय
Non-statutory	असांविधिक__गैर-कानूनी
Non-voted	अदत्तमत
Normal	सामान्य__साधारण
Normal_speed	सामान्य_चाल
Normal_take_off	सामान्य_उत्पतन
Not_exceeding	अनधिक
Not_withstanding_anything_to_the_contrary	किसी_बात_के_अन्यथा_होते_हुए_भी
Note_of_dissent	असहमति_टिप्पण
Notice	सूचना__जानकारी
Notice_Board	सूचना_पट्ट
Notice_Office	सूचना_कार्यालय
Notices_of_Questions	प्रश्नों_की_सूचना
Notification	अधिसूचना
Notified	अधिसूचित
Notified_for_general_information	जनसाधारण_की_जानकारी_के_लिए_अधिसूचित
Notional_pay	कल्पित_वेतन
Notional_promotion	कल्पित_पदोन्नति
Not-traceable	पता_नहीं_लग_रहा_है__अप्राप्य
Notwithstanding	के_होते_हुए_भी__के_होने_पर_भी
Null_and_void	बातिल_और_शून्य__अकृत_और_शून्य__अमान्य
Numbered_consecutively	क्रमवर्ती_रूप_से_संख्यांकित
Numeric	अंकीय
Oath	शपथ
Oath_or_Affirmation	शपथ_अथवा_प्रतिज्ञान
Obedience	आज्ञापालन
Observance_of_silence	मौन_धारण
Observation	निरिक्षण
Occasion_arises,_when	अवसर/समय_आने_पर
Office_of_profit	लाभ_का_पद
Office_to_note_and_comply	कार्यालय_ध्यान_दे_और_पालन_करे
Open_Rating_License	मुक्त_निर्धारण_अनुज्ञप्ति
Operating_cost	प्रचालन_लागत
Operating_gear	प्रचालन_गियर
Operation_area	प्रचालन_क्षेत्र
Operator's_License	प्रचालक_लाइसेंस
Opportune_moment	उपयुक्त_समय
Opportunity_to_be_heard	सुनवाई_का_अवसर_प्रदान_करना
Opposition	विपक्ष__विरोध_करना__प्रतिवाद_करना
Oppressed	सताया_गया__प्रताड़ित
Option	विकल्प
Oral_Answers	मौखिक_उत्तर
Oral_answers_to_questions	प्रश्नों_के_मौखिक_उत्तर
Oral_evidence	मौखिक_साक्ष्य
Order_of_precedence	पूर्वता-क्रम__प्राथमिकता-क्रम
Order_Paper	कार्य-सूची
Orderly_proceedings	व्यवस्थित_कार्यवाही
Ordinance	अध्यादेश
Ordinary_Division	साधारण_विभाजन
Organic	जैव__जैविक
Organizational_set_up	संगठनात्मक_ढांचा/संगठन_का_स्वरूप
Orientation_Course	अभिविन्यास_पाठ्यक्रम
Orientation_Programme	विषयबोध_कार्यक्रम
Ornamental	सजावटी__शोभाकारी__अलंकारी
Out_of_track	विषमनता
Out_of_order	अव्यवस्थित__बन्द_पड़ा_होना__खराब_होना
Output_meter	निर्गममापी
Outcome_budget	परिणाम_बजट
Outer_Lobby	बाह्य_लाबी
Outlay_earmarked	निर्धारित_परिव्यय
Outlay,_capital	पूंजी_परिव्यय
Outlying_areas	दूरवर्ती/बाहरी_क्षेत्र__बहिर्वती_क्षेत्र
Outright_purchase	एकमुश्त_खरीद
Outside_the_normal_scope	सामान्य_परिधि_के_बाहर
Ovation	जय-जयकार__अभिनन्दन__स्वागत
Overall_analysis	समग्र_विश्लेषण
Overall_deficit	समग्र_घाटा
Overall_policy	समग्र_नीति
Overcharge	अधिप्रभार__प्रभाराधिक्य
Overflow	अधि_प्रवाह
Overriding_commission	अधिभावी_कमीशन
Overseas_Indian_Affairs	प्रवासी_भारतीय_कार्य
Oversee	निगरानी_रखना__देखभाल
Paid_up_capital	प्रदत्त_पूंजी
Painstaking	परिश्रमी__अध्यवसायी__कठिन
Parachute	पैराशूट__छाता
Parking	पार्कन__पार्क_करना
Pamphlets	पर्चे
Panel	तालिका
Panel_discussion	पैनल_चर्चाएं
Par_excellence	श्रेष्ठ__उत्कृष्ट
Par_value	सम_मूल्य
Paradox	विरोधाभास__विडम्बना
Parallel_session	समानांतर_सत्र
Paramedical_services	अर्द्ध-चिकित्सा_सेवाएं
Parameter	मानदंड__आधार__मानक
Paramount	परम__सर्वोच्च__सर्वोपरि
Pari_passu	के_साथ-साथ__समान_गति_से
Parliamentary_Business	संसदीय_कार्य
Parliamentary_Committees	संसदीय_समितियां
Parliamentary_delegation	संसदीय_शिष्टमंडल
Parliamentary_institution	संसदीय_संस्था
Parliamentary_papers	संसदीय_पत्र
Parliamentary_privileges	संसदीय_विशेषाधिकार
Passage_of_Bills	विधेयक_का_पारण
Passanger_traffic	यात्री_यातायात
Passport	पारपत्र/पासपोर्ट
Patent_errors	स्पष्ट_अशुद्धियां
Patronage	संरक्षण__सहारा__प्रश्रय__आश्रय
Paucity	अभाव__कमी__अल्पता
Pauper	अकिंचन__निर्धन
Pay,_substantive	मूल_पद_वेतन
Payoff	चुकता__भुगतान
Pecuniary	धन-संबंधी__वित्तीय
Post-facto_sanction	कार्योत्तर_मंजूरी
Postponement_of_Clause	खंड_का_स्थगन
Potential	संभाव्य__कार्यक्षम
Power_to_make_rules	नियम_बनाने_की_शक्ति
Power_to_try_summarily	संक्षिप्त_विचारण_की_शक्ति
Preamble	प्रस्तावना__उद्देशिका
Pre-audit	पूर्व-लेखा_परीक्षा
Precaution	पूर्वोपाय__सावधानी
Preclude	रोक_देना__प्रतिवारित_करना
Predetermined	पूर्वनिर्धारित
Predominant	प्रधान__प्रबल__प्रभावी__सर्वाधिक
Pre-eminent	सर्वश्रेष्ठ__सर्वोत्तम__उत्कृष्ट
Prefabricated	पूर्वरचित__पूर्वनिर्मित
Preface	आमुख
Preferential_right	अधिमानी_अधिकार
Preferred	अधिमानी
Prejudice	प्रतिकूल_प्रभाव__पूर्वाग्रह__पूर्वधारणा
Prejudicial	प्रतिकूल__हानिकर
Preliminary_inquiry	प्रारंभिक_जांच
Preliminary_material	प्रारम्भिक_सामग्री
Preparatory_work	आरंभिक_कार्य
Pre-recruitment_training	भर्ती_पूर्व_प्रशिक्षण
Prerequisite	पूर्वापेक्षा__पूर्वापेक्षित
Prerogative	परमाधिकार__विशेषाधिकार
Prescribed_Form	निर्धारित_प्रपत्र__विहित_स्वरूप
